Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,46.11500168,46.23500061,45.30250168,46.20500183,44.34806824,163210000
12/4/2018,45.23749924,45.59749985,44.06750107,44.17250061,42.39725113,165377200
12/6/2018,42.93999863,43.69499969,42.60499954,43.68000031,41.92454147,172393600
12/7/2018,43.37250137,43.62250137,42.07500076,42.12250137,40.42963409,169126400
12/10/2018,41.25,42.52249908,40.83250046,42.40000153,40.69597626,248104000
12/11/2018,42.91500092,42.94749832,41.75,42.15750122,40.46322632,189126800
12/12/2018,42.59999847,42.97999954,42.25500107,42.27500153,40.57600021,142510800
12/13/2018,42.62250137,43.14250183,42.38750076,42.73749924,41.01990509,127594400
12/14/2018,42.25,42.27000046,41.31999969,41.36999893,39.70737839,162814800
12/17/2018,41.36249924,42.08750153,40.68249893,40.98500061,39.33784866,177151600
12/18/2018,41.34500122,41.88249969,41.09749985,41.51750183,39.84894943,135366000
12/19/2018,41.5,41.86249924,39.77249908,40.22249985,38.60599136,196189200
12/20/2018,40.09999847,40.52750015,38.82500076,39.20750046,37.63178635,259092000
12/21/2018,39.21500015,39.54000092,37.40750122,37.68249893,36.16807556,382978400
12/24/2018,37.03749847,37.88750076,36.64749908,36.70750046,35.23226547,148676800
12/26/2018,37.07500076,39.30749893,36.68000031,39.29249954,37.71336365,234330000
12/27/2018,38.95999908,39.19250107,37.51750183,39.03749847,37.4686203,212468400
12/28/2018,39.375,39.63000107,38.63750076,39.05749893,37.48781204,169165600
12/31/2018,39.63249969,39.84000015,39.11999893,39.43500137,37.85014725,140014000
1/2/2019,38.72249985,39.71250153,38.55749893,39.47999954,37.89332962,148158800
1/3/2019,35.99499893,36.43000031,35.5,35.54750061,34.1188736,365248800
1/4/2019,36.13249969,37.13750076,35.95000076,37.06499863,35.57538986,234428400
1/7/2019,37.17499924,37.20750046,36.47499847,36.98249817,35.49620438,219111200
1/8/2019,37.38999939,37.95500183,37.13000107,37.6875,36.17287445,164101200
1/9/2019,37.82249832,38.63249969,37.40750122,38.32749939,36.78714752,180396400
1/10/2019,38.125,38.49250031,37.71500015,38.45000076,36.90472794,143122800
1/11/2019,38.22000122,38.42499924,37.87749863,38.07249832,36.54240799,108092800
1/14/2019,37.71250153,37.81750107,37.30500031,37.5,35.99291229,129756800
1/15/2019,37.56750107,38.34749985,37.51250076,38.26750183,36.72956467,114843600
1/16/2019,38.27000046,38.97000122,38.25,38.73500061,37.17827606,122278800
1/17/2019,38.54999924,39.41500092,38.31499863,38.96500015,37.39903259,119284800
1/18/2019,39.375,39.47000122,38.99499893,39.20500183,37.62939072,135004000
1/22/2019,39.10250092,39.18249893,38.15499878,38.32500076,36.78474426,121576000
1/23/2019,38.53749847,38.78499985,37.92499924,38.47999954,36.93351746,92522400
1/24/2019,38.52750015,38.61999893,37.93500137,38.17499924,36.6407814,101766000
1/25/2019,38.86999893,39.53250122,38.58000183,39.43999863,37.85494232,134142000
1/28/2019,38.94749832,39.08250046,38.41500092,39.07500076,37.50460434,104768400
1/29/2019,39.0625,39.53250122,38.52750015,38.66999817,37.11587524,166348800
1/30/2019,40.8125,41.53749847,40.05749893,41.3125,39.65218353,244439200
1/31/2019,41.52750015,42.25,41.13999939,41.61000061,39.93772888,162958400
2/1/2019,41.74000168,42.24499893,41.48249817,41.63000107,39.95692825,130672400
2/4/2019,41.85250092,42.91500092,41.81999969,42.8125,41.09191513,125982000
2/5/2019,43.21500015,43.77000046,43.08750153,43.54499817,41.79497147,144406400
2/6/2019,43.66249847,43.89250183,43.21250153,43.56000137,41.80936432,112958400
2/7/2019,43.09999847,43.48500061,42.58499908,42.73500061,41.01751709,126966800
2/8/2019,42.24750137,42.66500092,42.10499954,42.60250092,41.06570816,95280000
2/11/2019,42.76250076,42.80250168,42.3125,42.35749817,40.8295517,83973600
2/12/2019,42.52500153,42.75,42.42499924,42.72249985,41.18137741,89134000
2/13/2019,42.84749985,43.11999893,42.47999954,42.54499817,41.01028061,89960800
2/14/2019,42.42750168,42.81499863,42.34500122,42.70000076,41.15969467,87342800
2/15/2019,42.8125,42.92499924,42.4375,42.60499954,41.06812668,98507200
2/19/2019,42.42750168,42.86000061,42.37250137,42.73249817,41.19102097,75891200
2/20/2019,42.79750061,43.33000183,42.74750137,43.00749969,41.45611572,104457600
2/21/2019,42.95000076,43.09249878,42.57500076,42.76499939,41.22235107,68998800
2/22/2019,42.89500046,43.25,42.84500122,43.24250031,41.68262482,75652800
2/25/2019,43.54000092,43.96749878,43.48749924,43.55749893,41.98625946,87493600
2/26/2019,43.42750168,43.82500076,43.29249954,43.58250046,42.01036453,68280800
2/27/2019,43.30250168,43.75,43.18249893,43.71749878,42.14048386,111341600
2/28/2019,43.58000183,43.72750092,43.22999954,43.28749847,41.72600555,112861600
3/1/2019,43.56999969,43.78749847,43.22249985,43.74250031,42.16458511,103544800
3/4/2019,43.92250061,44.4375,43.49250031,43.96250153,42.37665176,109744800
3/5/2019,43.98500061,44,43.63499832,43.88249969,42.29954147,78949600
3/6/2019,43.66749954,43.87250137,43.48500061,43.63000107,42.05615234,83241600
3/7/2019,43.46749878,43.61000061,43.00500107,43.125,41.56936646,99185600
3/8/2019,42.58000183,43.26750183,42.375,43.22750092,41.66817474,95997600
3/11/2019,43.87250137,44.77999878,43.83750153,44.72499847,43.11165237,128044000
